text,label,cleaned_text,label_encoded
COVID-19 vaccine causes infertility in women,Fake,covid vaccine cause infertility woman,1
Youth sports program gets new funding,Real,youth sport program get new funding,0
Small business owner wins entrepreneur award,Real,small business owner win entrepreneur award,0
New technology reduces pollution by 50 percent,Real,new technology reduces pollution percent,0
Popular snack found to contain plastic,Fake,popular snack found contain plastic,1
Scientists create time machine in secret lab,Fake,scientist create time machine secret lab,1
President signs bill to improve education system,Real,president sign bill improve education system,0
Politician caught in secret love affair,Fake,politician caught secret love affair,1
Vitamin supplement replaces all food,Fake,vitamin supplement replaces food,1
Time traveler confirms apocalypse next year,Fake,time traveler confirms apocalypse next year,1
President resigns after secret video leak,Fake,president resigns secret video leak,1
Bigfoot captured alive in forest,Fake,bigfoot captured alive forest,1
Companies commit to reduce carbon emissions,Real,company commit reduce carbon emission,0
New scholarships available for STEM students,Real,new scholarship available stem student,0
Bill Gates planning to microchip all humans,Fake,bill gate planning microchip human,1
5G networks causing health problems worldwide,Fake,g network causing health problem worldwide,1
Aliens have landed in New York City today,Fake,alien landed new york city today,1
Miracle pill cures all diseases in one week,Fake,miracle pill cure disease one week,1
Researchers find new way to purify drinking water,Real,researcher find new way purify drinking water,0
Scientists develop new solar panel technology,Real,scientist develop new solar panel technology,0
Elon Musk announces he is an alien,Fake,elon musk announces alien,1
Vaccines contain tracking devices,Fake,vaccine contain tracking device,1
Famous brand found using child labor,Fake,famous brand found using child labor,1
Community garden project wins national award,Real,community garden project win national award,0
World to end tomorrow says ancient prophecy,Fake,world end tomorrow say ancient prophecy,1
Students win national science competition,Real,student win national science competition,0
New wildlife sanctuary established,Real,new wildlife sanctuary established,0
New virus created in lab to control population,Fake,new virus created lab control population,1
Tech startup raises funds for clean energy project,Real,tech startup raise fund clean energy project,0
Zombie virus outbreak in small town,Fake,zombie virus outbreak small town,1
New app helps people find volunteer opportunities,Real,new app help people find volunteer opportunity,0
Local photographer wins national award,Real,local photographer win national award,0
AI will take over world by next year,Fake,ai take world next year,1
Drinking bleach cures viruses,Fake,drinking bleach cure virus,1
New law to protect endangered species passed,Real,new law protect endangered specie passed,0
Moon landing was completely faked says expert,Fake,moon landing completely faked say expert,1
New public art project beautifies downtown,Real,new public art project beautifies downtown,0
Community sports complex gets new equipment,Real,community sport complex get new equipment,0
Marathon raises funds for local charities,Real,marathon raise fund local charity,0
Tech giant caught spying on users,Fake,tech giant caught spying user,1
Celebrity caught stealing from charity organization,Fake,celebrity caught stealing charity organization,1
Weight loss pill allows eating anything,Fake,weight loss pill allows eating anything,1
Local artist wins prestigious painting competition,Real,local artist win prestigious painting competition,0
Local theater receives renovation funding,Real,local theater receives renovation funding,0
Local sports team wins championship title,Real,local sport team win championship title,0
Local river cleanup project gets volunteers,Real,local river cleanup project get volunteer,0
School implements mental health support program,Real,school implement mental health support program,0
University offers new scholarship program,Real,university offer new scholarship program,0
Secret society controlling media outlets,Fake,secret society controlling medium outlet,1
Researchers develop method to recycle plastic waste,Real,researcher develop method recycle plastic waste,0
New walking trail opens in nature reserve,Real,new walking trail open nature reserve,0
Local community raises funds for new school building,Real,local community raise fund new school building,0
Scientists create biodegradable plastic alternative,Real,scientist create biodegradable plastic alternative,0
Nuclear war imminent says intelligence source,Fake,nuclear war imminent say intelligence source,1
Artists collaborate on community mural project,Real,artist collaborate community mural project,0
Parliament passes new law for worker safety,Real,parliament pass new law worker safety,0
Scientists predict warmer winter this year,Real,scientist predict warmer winter year,0
New restaurant opens in downtown area,Real,new restaurant open downtown area,0
Community starts tree-planting campaign,Real,community start treeplanting campaign,0
Secret society controls world governments,Fake,secret society control world government,1
New pill makes you immune to all diseases,Fake,new pill make immune disease,1
City celebrates cultural diversity festival,Real,city celebrates cultural diversity festival,0
Study shows exercise improves mental health,Real,study show exercise improves mental health,0
Local athlete competes in national championship,Real,local athlete competes national championship,0
Popular drink linked to cancer cover-up,Fake,popular drink linked cancer coverup,1
Chocolate is actually a vegetable says study,Fake,chocolate actually vegetable say study,1
Celebrity faked their own death for publicity,Fake,celebrity faked death publicity,1
Banks to close all accounts next month,Fake,bank close account next month,1
School adopts innovative teaching methods,Real,school adopts innovative teaching method,0
Apocalypse predicted by ancient calendar,Fake,apocalypse predicted ancient calendar,1
City hosts annual cultural festival,Real,city host annual cultural festival,0
New device gives you superpowers,Fake,new device give superpower,1
Farmers adopt sustainable agriculture practices,Real,farmer adopt sustainable agriculture practice,0
Government announces new healthcare plan for all citizens,Real,government announces new healthcare plan citizen,0
Water can cure all diseases says expert,Fake,water cure disease say expert,1
President secretly replaced by body double,Fake,president secretly replaced body double,1
New superfood discovered in Amazon,Fake,new superfood discovered amazon,1
Government hiding truth about alien contact,Fake,government hiding truth alien contact,1
New fabric makes you invisible,Fake,new fabric make invisible,1
Local library launches digital learning program,Real,local library launch digital learning program,0
New product can reverse aging completely,Fake,new product reverse aging completely,1
New smartphone can read your thoughts,Fake,new smartphone read thought,1
Government caught hiding evidence of UFOs,Fake,government caught hiding evidence ufo,1
Government plans to install microchips in citizens,Fake,government plan install microchip citizen,1
City receives grant for affordable housing,Real,city receives grant affordable housing,0
New bike lanes installed in city,Real,new bike lane installed city,0
Smart glasses can see through walls,Fake,smart glass see wall,1
Bank CEO arrested for money laundering,Fake,bank ceo arrested money laundering,1
Scientists discover new treatment for cancer patients,Real,scientist discover new treatment cancer patient,0
Secret military base found on the moon,Fake,secret military base found moon,1
Miracle water cures all diseases,Fake,miracle water cure disease,1
City launches clean energy initiative,Real,city launch clean energy initiative,0
New study proves that Earth is flat,Fake,new study prof earth flat,1
New virus engineered to target specific groups,Fake,new virus engineered target specific group,1
New recycling program reduces waste by 40 percent,Real,new recycling program reduces waste percent,0
New food additive causes memory loss,Fake,new food additive cause memory loss,1
Local hospital receives excellence in care award,Real,local hospital receives excellence care award,0
Local farmers report best harvest in decade,Real,local farmer report best harvest decade,0
New study confirms health benefits of walking,Real,new study confirms health benefit walking,0
New program helps seniors learn technology,Real,new program help senior learn technology,0
New diet allows you to lose 20 pounds in 3 days,Fake,new diet allows lose pound day,1
City council approves new public transport project,Real,city council approves new public transport project,0
Local business creates 100 new jobs in community,Real,local business creates new job community,0
Scientists clone first human being,Fake,scientist clone first human,1
